location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,daily,vw_cap,4,1926-07-28,-0.00489589728728404
usa,short_term_reversal,daily,vw_cap,4,1926-07-29,0.00144379661840291
usa,short_term_reversal,daily,vw_cap,4,1926-07-30,-0.0025178542431949
usa,short_term_reversal,daily,vw_cap,4,1926-07-31,0.00128643847916182
usa,short_term_reversal,daily,vw_cap,4,1926-08-02,0.00490146281310991
usa,short_term_reversal,daily,vw_cap,4,1926-08-03,-0.00277324596088849
usa,short_term_reversal,daily,vw_cap,4,1926-08-04,0.00422095914889453
usa,short_term_reversal,daily,vw_cap,4,1926-08-05,-0.000572217960320785
usa,short_term_reversal,daily,vw_cap,4,1926-08-06,-0.000218852159895813
usa,short_term_reversal,daily,vw_cap,4,1926-08-07,-0.00255427185581604
usa,short_term_reversal,daily,vw_cap,4,1926-08-09,-0.00184146964050362
usa,short_term_reversal,daily,vw_cap,4,1926-08-10,0.00409863219571179
usa,short_term_reversal,daily,vw_cap,4,1926-08-11,0.00289712602531399
usa,short_term_reversal,daily,vw_cap,4,1926-08-12,-0.000468920511547042
usa,short_term_reversal,daily,vw_cap,4,1926-08-13,-0.000862690588762725
usa,short_term_reversal,daily,vw_cap,4,1926-08-14,0.00103983337719343
usa,short_term_reversal,daily,vw_cap,4,1926-08-16,-0.000918684010811621
usa,short_term_reversal,daily,vw_cap,4,1926-08-17,0.00275218542994085
usa,short_term_reversal,daily,vw_cap,4,1926-08-18,-0.00129950329117013
usa,short_term_reversal,daily,vw_cap,4,1926-08-19,0.00134807860295893
usa,short_term_reversal,daily,vw_cap,4,1926-08-20,9.90073369994837e-6
usa,short_term_reversal,daily,vw_cap,4,1926-08-21,0.00200984374458798
usa,short_term_reversal,daily,vw_cap,4,1926-08-23,-0.00218618274668984
usa,short_term_reversal,daily,vw_cap,4,1926-08-24,-0.000829498786289298
usa,short_term_reversal,daily,vw_cap,4,1926-08-25,0.00112638797737169
usa,short_term_reversal,daily,vw_cap,4,1926-08-26,0.00126094647713852
usa,short_term_reversal,daily,vw_cap,4,1926-08-27,0.00195424009852027
usa,short_term_reversal,daily,vw_cap,4,1926-08-28,-0.000697468971062416
usa,short_term_reversal,daily,vw_cap,4,1926-08-30,0.00624825345957219
usa,short_term_reversal,daily,vw_cap,4,1926-08-31,-0.000716637009236283
usa,short_term_reversal,daily,vw_cap,4,1926-09-01,0.000396158883854951
