location,name,freq,weighting,n_factors,date,ret
usa,seasonality,daily,vw_cap,1,1926-07-29,-0.000428643157916729
usa,seasonality,daily,vw_cap,1,1926-07-30,0.00277036341087964
usa,seasonality,daily,vw_cap,1,1926-07-31,-0.00312470613001037
usa,seasonality,daily,vw_cap,1,1926-08-02,-0.00707854860001888
usa,seasonality,daily,vw_cap,1,1926-08-03,-0.00163068666792055
usa,seasonality,daily,vw_cap,1,1926-08-04,0.00373452169942794
usa,seasonality,daily,vw_cap,1,1926-08-05,0.00105349240456358
usa,seasonality,daily,vw_cap,1,1926-08-06,-0.0020084090826348
usa,seasonality,daily,vw_cap,1,1926-08-07,0.00201488561649314
usa,seasonality,daily,vw_cap,1,1926-08-09,0.00132967675525465
usa,seasonality,daily,vw_cap,1,1926-08-10,-0.00146766244076763
usa,seasonality,daily,vw_cap,1,1926-08-11,0.00308182085360639
usa,seasonality,daily,vw_cap,1,1926-08-12,-0.000519721924237952
usa,seasonality,daily,vw_cap,1,1926-08-13,0.000909556846521536
usa,seasonality,daily,vw_cap,1,1926-08-14,-0.00299429463402914
usa,seasonality,daily,vw_cap,1,1926-08-16,0.00472512961716763
usa,seasonality,daily,vw_cap,1,1926-08-17,-0.000128715636288591
usa,seasonality,daily,vw_cap,1,1926-08-18,0.00166659137967449
usa,seasonality,daily,vw_cap,1,1926-08-19,0.000929354641709994
usa,seasonality,daily,vw_cap,1,1926-08-20,0.00214034600800818
usa,seasonality,daily,vw_cap,1,1926-08-21,0.000870204739995354
usa,seasonality,daily,vw_cap,1,1926-08-23,-0.00204573009578234
usa,seasonality,daily,vw_cap,1,1926-08-24,0.00141280586461267
usa,seasonality,daily,vw_cap,1,1926-08-25,0.00302651821469939
usa,seasonality,daily,vw_cap,1,1926-08-26,-0.0000661414730274527
usa,seasonality,daily,vw_cap,1,1926-08-27,0.000562435624167984
usa,seasonality,daily,vw_cap,1,1926-08-28,0.00187122418948676
usa,seasonality,daily,vw_cap,1,1926-08-30,-0.00690238631184484
usa,seasonality,daily,vw_cap,1,1926-08-31,0.00285396991022374
usa,seasonality,daily,vw_cap,1,1926-09-01,-0.00123561149192194
usa,seasonality,daily,vw_cap,1,1926-09-02,-0.000830321245291641
usa,seasonality,daily,vw_cap,1,1926-09-03,0.000146695170196554
usa,seasonality,daily,vw_cap,1,1926-09-07,0.00413671369022894
usa,seasonality,daily,vw_cap,1,1926-09-08,-0.00175222843951442
usa,seasonality,daily,vw_cap,1,1926-09-09,0.00186890843408073
usa,seasonality,daily,vw_cap,1,1926-09-10,0.00175257341541302
usa,seasonality,daily,vw_cap,1,1926-09-11,-0.000670485151429474
usa,seasonality,daily,vw_cap,1,1926-09-13,0.00059245186026416
usa,seasonality,daily,vw_cap,1,1926-09-14,-0.00303616555512192
usa,seasonality,daily,vw_cap,1,1926-09-15,0.00209736220480306
usa,seasonality,daily,vw_cap,1,1926-09-16,-0.00183703514345826
usa,seasonality,daily,vw_cap,1,1926-09-17,0.00111406572308081
usa,seasonality,daily,vw_cap,1,1926-09-18,-0.00262812970725061
usa,seasonality,daily,vw_cap,1,1926-09-20,0.000981797494201464
usa,seasonality,daily,vw_cap,1,1926-09-21,0.000477163643569329
usa,seasonality,daily,vw_cap,1,1926-09-22,0.00103374334556695
usa,seasonality,daily,vw_cap,1,1926-09-23,0.000971385569846518
usa,seasonality,daily,vw_cap,1,1926-09-24,-0.000692154704947492
usa,seasonality,daily,vw_cap,1,1926-09-25,0.00203959545689326
usa,seasonality,daily,vw_cap,1,1926-09-27,-0.00114197948985578
usa,seasonality,daily,vw_cap,1,1926-09-28,0.00153941268238237
